adam
agila
ampera
antara
arena
ascona
astra
calibra
campo
cascada
combo
commodore
corsa
crossland
crossland-x
diplomat
frontera
grandland
grandland-x
gt
other
insignia
kadett
karl
manta
meriva
mokka
monterey
monza
movano
nova
omega
pick-up-sportcap
rekord
senator
signum
sintra
speedster
tigra
vectra
vivaro
zafira
