accent
atos
avante
azera
bayon
coupe
elantra
equus
excel
galloper
genesis
genesis-coupe
getz
grand-santa-fe
grandeur
h-1
h-1-starex
h200
h350
i10
i20
i25
i30
i30-n
i40
other
ioniq
ioniq-5
ioniq-6
ix20
ix35
ix55
kona
lantra
matrix
nexo
palisade
pony
s-coupe
santa-fe
santamo
sonata
sonica
terracan
trajet
tucson
veloster
veracruz
xg-30
xg-350
